uf,mes,ano,vitimas
MS,1,2020,2
MT,1,2020,5
PA,1,2020,5
PB,1,2020,1
PE,1,2020,8
PI,1,2020,2
PR,1,2020,4
RJ,1,2020,6
RN,1,2020,1
RO,1,2020,1
RS,1,2020,10
SC,1,2020,2
SE,1,2020,3
SP,1,2020,12
TO,1,2020,2
AC,2,2020,2
AL,2,2020,3
BA,2,2020,9
CE,2,2020,2
ES,2,2020,1
GO,2,2020,5
MA,2,2020,6
MG,2,2020,14
MS,2,2020,3
MT,2,2020,5
PA,2,2020,12
PB,2,2020,4
PE,2,2020,6
PI,2,2020,1
PR,2,2020,11
RJ,2,2020,6
RN,2,2020,3
RO,2,2020,1
RR,2,2020,1
RS,2,2020,4
SC,2,2020,4
SE,2,2020,1
SP,2,2020,18
TO,2,2020,1
AC,3,2020,2
BA,3,2020,9
CE,3,2020,3
DF,3,2020,1
ES,3,2020,5
GO,3,2020,4
MA,3,2020,6
MG,3,2020,10
MS,3,2020,2
MT,3,2020,6
PA,3,2020,5
PB,3,2020,1
PE,3,2020,5
PI,3,2020,3
PR,3,2020,9
RJ,3,2020,5
RN,3,2020,4
RO,3,2020,2
RS,3,2020,13
SC,3,2020,6
SE,3,2020,1
SP,3,2020,20
TO,3,2020,2
AC,4,2020,2
AL,4,2020,4
BA,4,2020,10
CE,4,2020,1
DF,4,2020,1
GO,4,2020,3
MA,4,2020,8
MG,4,2020,15
MS,4,2020,5
MT,4,2020,5
PA,4,2020,5
PB,4,2020,5
PE,4,2020,9
PI,4,2020,1
PR,4,2020,7
RJ,4,2020,3
RN,4,2020,1
RO,4,2020,2
RS,4,2020,9
SC,4,2020,7
SE,4,2020,1
SP,4,2020,21
AC,5,2020,2
AL,5,2020,2
AM,5,2020,3
BA,5,2020,15
CE,5,2020,2
ES,5,2020,1
GO,5,2020,4
MA,5,2020,2
MG,5,2020,10
MS,5,2020,4
MT,5,2020,7
PA,5,2020,4
PB,5,2020,5
PE,5,2020,5
PI,5,2020,1
PR,5,2020,3
RJ,5,2020,6
RN,5,2020,1
RO,5,2020,1
RR,5,2020,1
RS,5,2020,7
SC,5,2020,2
SE,5,2020,2
SP,5,2020,9
TO,5,2020,1
AC,6,2020,1
AL,6,2020,4
AM,6,2020,2
BA,6,2020,6
CE,6,2020,3
DF,6,2020,2
ES,6,2020,3
GO,6,2020,4
MA,6,2020,6
MG,6,2020,13
MS,6,2020,2
MT,6,2020,6
PA,6,2020,5
PB,6,2020,1
PE,6,2020,1
PI,6,2020,3
PR,6,2020,4
RJ,6,2020,7
RO,6,2020,1
RS,6,2020,8
SC,6,2020,3
SE,6,2020,1
